Policy_document_id,Title,"Translated title","Document type","Source title","Source country","Source state","Source sector","Source organisation type","Source function",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
vtise-f1551ca0b7d4b2ef4a261bb4e276aa57,"What are we missing when we measure accessibility? : Comparing calculated and self-reported accounts among older people",,"Scholarly article",VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-05-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1844027&c=628&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-f1551ca0b7d4b2ef4a261bb4e276aa57,,,"Accessibility|Bicycle|Capability approach",eng,,"SDG 11: Sustainable Cities and Communities","Accessibility in transport policies"
vtise-f8ed637ec52b5aeac158ffe34e588fa4,"What are we missing when we measure accessibility? : Comparing calculated and self-reported accounts among older people",,"Scholarly article",VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2021-05-28,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-5485&pid=diva2%3A1844027&c=768&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-f8ed637ec52b5aeac158ffe34e588fa4,,,"Accessibility|Bicycle|Capability approach",eng,,"SDG 11: Sustainable Cities and Communities","Accessibility and transport policies for older people"
oecddiscovery-9a9ff3d637fcb524a021c3f698776a7b,"ITF Transport Outlook 2021",,Publication,OECD,IGO,,"Public Sector",IGO,"International Body|OVSEP|IGO Department or Agency|OVSEP|Monitoring or Regulatory Body|OVSEP|Policy Centre|OVSEP|Research Centre",2021-05-17,78,133,https://dx.doi.org/10.1787/16826a30-en,https://app.overton.io/document.php?policy_document_id=oecddiscovery-9a9ff3d637fcb524a021c3f698776a7b,,,"ASEAN|Accessibility|Air pollution",eng,ITF,"SDG 11: Sustainable Cities and Communities|SDG 13: Climate Action","Transport policy and sustainability"
europa-3e5d08875a7014149cc533d013429dd1,"Evaluating the impact of nature-based solutions : appendix of methods.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|OVSEP|Public Data Body or Statistics|OVSEP|Archive|OVSEP|Public Service",2021-05-04,1,1,https://op.europa.eu/en/publication-detail/-/publication/6da29d54-ad4e-11eb-9767-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-3e5d08875a7014149cc533d013429dd1,,,"Air pollution|Avalanche|Biodegradation",eng,"Directorate-General for Research and Innovation (European Commission)|Dumitru, Adina|Wendling, Laura","SDG 13: Climate Action","Evaluating the impact of nature-based solutions"
europa-d7cf0b4cbdb2fc2e66ed638480b8c134,"Evaluating the impact of nature-based solutions : a handbook for practitioners.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|OVSEP|Public Data Body or Statistics|OVSEP|Archive|OVSEP|Public Service",2021-05-04,16,25,https://op.europa.eu/en/publication-detail/-/publication/d7d496b5-ad4e-11eb-9767-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-d7cf0b4cbdb2fc2e66ed638480b8c134,,,"Biodiversity|Branches of science|Climate resilience",eng,"Directorate-General for Research and Innovation (European Commission)","SDG 13: Climate Action","Evaluating the impact of nature-based solutions"
europa-6b7e29a4dc4959b57844b82cc1665d13,"Evaluating the impact of nature-based solutions - Publications Office of the EU",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|OVSEP|Public Data Body or Statistics|OVSEP|Archive|OVSEP|Public Service",2021-05-04,0,0,https://op.europa.eu/en/publication-detail/-/publication/d7d496b5-ad4e-11eb-9767-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-6b7e29a4dc4959b57844b82cc1665d13,,,"Biodiversity|Branches of science|Climate resilience",eng,"Directorate-General for Research and Innovation (European Commission)","SDG 11: Sustainable Cities and Communities","Evaluating the impact of nature-based solutions for sustainable urban transformation"
europa-c4fa113ec87188f10375b592f689e5f3,"Evaluating the impact of nature-based solutions - Publications Office of the EU",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|OVSEP|Public Data Body or Statistics|OVSEP|Archive|OVSEP|Public Service",2021-05-04,0,0,https://op.europa.eu/en/publication-detail/-/publication/6da29d54-ad4e-11eb-9767-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-c4fa113ec87188f10375b592f689e5f3,,,"Air pollution|Avalanche|Biodegradation",eng,"Directorate-General for Research and Innovation (European Commission)|Dumitru, Adina|Wendling, Laura","SDG 11: Sustainable Cities and Communities|SDG 13: Climate Action|SDG 15: Life on Land","Evaluating the Impact of Nature-Based Solutions"
iiasaat-db6b5fa136139e58a15f3d2f79ed68ff,"How much mobility infrastructure is required for decent mobility standards? A comparative assessment and explorative modelling",,Publication,IIASA,Austria,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2021-02-16,0,0,https://pure.iiasa.ac.at/id/eprint/17802/?template=default_internal,https://app.overton.io/document.php?policy_document_id=iiasaat-db6b5fa136139e58a15f3d2f79ed68ff,ECE|prog_ysp,,"Accessibility|Branches of science|Economy",eng,"Virag, D.","SDG 9: Industry, Innovation and Infrastructure|SDG 11: Sustainable Cities and Communities","Decent Mobility Standards and Infrastructure Stocks"
worldbank-dc71567bd60a50e1b3bdc01468abf8f0,"Roads Development Optimization for All-Season Service Accessibility Improvement in Rural Nepal Using a Novel Cost-Time Model and Evolutionary Algorithm",,"Working paper","World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2021-01-28,0,0,https://openknowledge.worldbank.org/handle/10986/35073,https://app.overton.io/document.php?policy_document_id=worldbank-dc71567bd60a50e1b3bdc01468abf8f0,,,"Accessibility|Branches of science|Cost–benefit analysis",eng,"Heyns, Andries|Banick, Robert|Regmi, Suraj","SDG 9: Industry, Innovation and Infrastructure","Rural roads construction in Nepal"
governmentofcanada-02fe85f0e22109804fb09a53a5c4ec6a,"Measuring proximity to services and amenities : an experimental set of indicators for neighbourhoods and localities / by Alessandro Alasia, Nick Newstead, Joseph Kuchar and Marian Radulescu.: CS18-001/2020-1E-PDF Publications - Canada.ca",,Publication,"Government of Canada",Canada,,"Public Sector",Government,"National Body|OVSEP|Mixed Roles|OVSEP|Public Service",2021-01-01,0,0,http://publications.gc.ca/site/eng/9.893207/publication.html,https://app.overton.io/document.php?policy_document_id=governmentofcanada-02fe85f0e22109804fb09a53a5c4ec6a,,,Accessibility|Alberta|Analysis,eng,"Statistics Canada, issuing body",,"Measuring proximity to services and amenities in neighbourhoods and localities"
worldbank-caf1705009bf2189a8767c82d40c23bd,"Roads Development Optimization for All-Season Service Accessibility Improvement in Rural Nepal Using a Novel Cost-Time Model and Evolutionary Algorithm",,Publication,"World Bank",IGO,,"Public Sector",IGO,"International Body|OVSEP|Financial Institution or Bank|OVSEP|Development Bank|OVSEP|Policy Centre",2021-01-01,0,0,https://hdl.handle.net/10986/35073,https://app.overton.io/document.php?policy_document_id=worldbank-caf1705009bf2189a8767c82d40c23bd,,,"Cost–benefit analysis|Crossover (genetic algorithm)|Feasible region",eng,"Heyns, Andries|Banick, Robert|Regmi, Suraj|Poverty and Equity Global Practice",,
oecddiscovery-5bca390da0e113f235d4d62a8337e451,"Measuring Accessibility",,"Working paper",OECD,IGO,,"Public Sector",IGO,"International Body|OVSEP|IGO Department or Agency|OVSEP|Monitoring or Regulatory Body|OVSEP|Policy Centre|OVSEP|Research Centre",2020-11-23,2,3,https://dx.doi.org/10.1787/8687d1db-en,https://app.overton.io/document.php?policy_document_id=oecddiscovery-5bca390da0e113f235d4d62a8337e451,,,"Time|International Transport Forum|Multinomial logistic regression",eng,"Eric Miller",,"Measuring accessibility in transport planning and evaluation"
oecddiscovery-b4ee4ab2fe21faeba4e51b9e065d1f58,"Dimensions of Accessibility Benefits",,"Working paper",OECD,IGO,,"Public Sector",IGO,"International Body|OVSEP|IGO Department or Agency|OVSEP|Monitoring or Regulatory Body|OVSEP|Policy Centre|OVSEP|Research Centre",2020-11-23,1,2,https://dx.doi.org/10.1787/32b02925-en,https://app.overton.io/document.php?policy_document_id=oecddiscovery-b4ee4ab2fe21faeba4e51b9e065d1f58,,,"Accessibility|Active mobility|Affect (psychology)",eng,"Andrés Monzón|Elena López","SDG 11: Sustainable Cities and Communities","Accessibility and transport policy"
oecddiscovery-5bca390da0e113f235d4d62a8337e451,"Measuring Accessibility",,"Working paper",OECD,IGO,,"Public Sector",IGO,"International Body|OVSEP|IGO Department or Agency|OVSEP|Monitoring or Regulatory Body|OVSEP|Policy Centre|OVSEP|Research Centre",2020-11-23,2,3,https://dx.doi.org/10.1787/8687d1db-en,https://app.overton.io/document.php?policy_document_id=oecddiscovery-5bca390da0e113f235d4d62a8337e451,,,"Accessibility|Branches of science|Computer network",eng,"Eric Miller","SDG 11: Sustainable Cities and Communities","Measuring Accessibility in Transport"
internationaltransportforum-dbc533187c0d1a4fdf0983be95cd7846,"Dimensions of Accessibility Benefits",,Publication,"International Transport Forum",IGO,,"Public Sector","Think Tank","International Body|OVSEP|IGO Department or Agency|OVSEP|Policy Centre|OVSEP|Monitoring or Regulatory Body|OVSEP|Top-Level Authority",2020-11-20,2,2,https://www.itf-oecd.org/accessibility-benefit-dimensions,https://app.overton.io/document.php?policy_document_id=internationaltransportforum-dbc533187c0d1a4fdf0983be95cd7846,,,"Accessibility|Affect (psychology)|Assumption",eng,,"SDG 11: Sustainable Cities and Communities","Accessibility in transport planning"
internationaltransportforum-8f124ccd611397de87abdcdd15af3998,"Measuring Accessibility",,Publication,"International Transport Forum",IGO,,"Public Sector","Think Tank","International Body|OVSEP|IGO Department or Agency|OVSEP|Policy Centre|OVSEP|Monitoring or Regulatory Body|OVSEP|Top-Level Authority",2020-11-20,3,3,https://www.itf-oecd.org/measuring-accessibility,https://app.overton.io/document.php?policy_document_id=internationaltransportforum-8f124ccd611397de87abdcdd15af3998,,,"Accessibility|Assumption|Branches of science",eng,,"SDG 11: Sustainable Cities and Communities","Measuring Accessibility in Transport Systems"
internationaltransportforum-fe80a290b2fcb6a283b078a3d4ff5cd1,"Accessibility and Transport Appraisal",,Publication,"International Transport Forum",IGO,,"Public Sector","Think Tank","International Body|OVSEP|IGO Department or Agency|OVSEP|Policy Centre|OVSEP|Monitoring or Regulatory Body|OVSEP|Top-Level Authority",2020-11-19,0,0,https://www.itf-oecd.org/accessibility-and-transport-appraisal-0,https://app.overton.io/document.php?policy_document_id=internationaltransportforum-fe80a290b2fcb6a283b078a3d4ff5cd1,,,"Accessibility|Assumption|Branches of science",eng,,"SDG 11: Sustainable Cities and Communities","Accessibility and transport appraisal"
internationaltransportforum-a8da0a445e505522de53aca31b8c0c04,"Accessibility and Transport Appraisal",,Publication,"International Transport Forum",IGO,,"Public Sector","Think Tank","International Body|OVSEP|IGO Department or Agency|OVSEP|Policy Centre|OVSEP|Monitoring or Regulatory Body|OVSEP|Top-Level Authority",2020-11-19,0,0,https://www.itf-oecd.org/accessibility-transport-appraisal,https://app.overton.io/document.php?policy_document_id=internationaltransportforum-a8da0a445e505522de53aca31b8c0c04,,,"Accessibility|Assumption|Branches of science",eng,,"SDG 11: Sustainable Cities and Communities","Accessibility and transport appraisal"
oecddiscovery-d638e013ee27d770146cfd3314e73310,"Accessibility and Transport Appraisal",,"Working paper",OECD,IGO,,"Public Sector",IGO,"International Body|OVSEP|IGO Department or Agency|OVSEP|Monitoring or Regulatory Body|OVSEP|Policy Centre|OVSEP|Research Centre",2020-11-19,1,2,https://dx.doi.org/10.1787/58a96ff1-en,https://app.overton.io/document.php?policy_document_id=oecddiscovery-d638e013ee27d770146cfd3314e73310,,,"Accessibility|Branches of science|Capability approach",eng,"Karst Guers","SDG 11: Sustainable Cities and Communities","Accessibility and transport appraisal"
cimmyt-e6621b2314df9bdd69c60d11593ae007,"Compendium on solar powered irrigation systems in India",,Publication,"Centro Internacional de Mejoramiento de Maíz y Trigo (CIMMYT)",Mexico,,"Third Sector",NGO,"Research Centre|OVSEP|Policy Centre",2020-09-23,0,0,https://repository.cimmyt.org/handle/10883/21229,https://app.overton.io/document.php?policy_document_id=cimmyt-e6621b2314df9bdd69c60d11593ae007,,,Agriculture|Bihar|CGIAR,eng,,"SDG 2: Zero Hunger|SDG 7: Affordable and Clean Energy","Solar powered irrigation systems in India"
cgiar-02929aa45a78336b7bf61a732e662b0b,"Compendium on Solar Powered Irrigation Systems in India",,Publication,CGIAR,France,,"Third Sector","Think Tank","Research Centre|OVSEP|Initiative, Programme or Project|OVSEP|Policy Centre|OVSEP|Professional Network, Association, Union or Cooperative",2020-09-01,3,4,https://cgspace.cgiar.org/handle/10568/109736,https://app.overton.io/document.php?policy_document_id=cgiar-02929aa45a78336b7bf61a732e662b0b,,,Agriculture|Bihar|CGIAR,eng,"Shirsath, Paresh Bhaskar|Saini, Sakshi|Durga, Neha|Senoner, Diego|Ghose, Nilanjan|Verma, Shilp|Sikka, Alok K.","SDG 2: Zero Hunger|SDG 7: Affordable and Clean Energy","Promotion of solar power in agriculture in India"
lincolninstitute-974f93c5d539f79636b62c04120ed899,"Value Capture Beyond Public Land Leasing",,"Working paper","Lincoln Institute",USA,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2020-08-25,0,0,https://www.lincolninst.edu/publications/working-papers/value-capture-beyond-public-land-leasing,https://app.overton.io/document.php?policy_document_id=lincolninstitute-974f93c5d539f79636b62c04120ed899,,,"Affordable housing|Auction|Bank",eng,,"SDG 11: Sustainable Cities and Communities","Value capture in China's Pearl River Delta"
oecddiscovery-73931f458b2aab2b3adc9d9ad5c628a7,"Perspectives des transports FIT 2019","FIT Transport Outlook 2019",Publication,OECD,IGO,,"Public Sector",IGO,"International Body|OVSEP|IGO Department or Agency|OVSEP|Monitoring or Regulatory Body|OVSEP|Policy Centre|OVSEP|Research Centre",2020-05-19,4,7,https://dx.doi.org/https://doi.org/10.1787/e4367294-fr,https://app.overton.io/document.php?policy_document_id=oecddiscovery-73931f458b2aab2b3adc9d9ad5c628a7,,,"Aviation|Bicycle-sharing system|Bus",fre,ITF,"SDG 11: Sustainable Cities and Communities","Future of Transportation"
ifode-c9707b1bca01590ade33c1b50a916417,"The Determinants and Effects of Social Connectedness in Europe",,"Working paper","Ifo Institute",Germany,,"Third Sector","Think Tank","Research Centre",2020-05-18,0,0,https://www.cesifo.org/en/publikationen/2020/working-paper/determinants-and-effects-social-connectedness-europe,https://app.overton.io/document.php?policy_document_id=ifode-c9707b1bca01590ade33c1b50a916417,,,"Cantons of Switzerland|Central Europe|Cluster analysis",eng,,,"Social connectedness in Europe"
vtise-34446c3ed52500d066165809b303a67c,"Distributional effects of public transport subsidies",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2020-05-05,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=683&pid=diva2%3A1424381&c=1542&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-34446c3ed52500d066165809b303a67c,,,"Commuting|Congestion pricing|Economics",eng,,,"Distribution of transit subsidies in Stockholm"
vtise-5ec59fe5e75ccad9fb1ab3474ef4364b,"Distributional effects of public transport subsidies",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2020-05-05,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=5742&pid=diva2%3A1424381&c=1873&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-5ec59fe5e75ccad9fb1ab3474ef4364b,,,"Commuting|Congestion pricing|Economics",eng,,,"Distribution of transit subsidies in Stockholm"
vtise-7baab026347f1c4010099e633105288a,"Distributional effects of public transport subsidies",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2020-05-05,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-6094&pid=diva2%3A1424381&c=1939&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-7baab026347f1c4010099e633105288a,,,"Commuting|Congestion pricing|Economics",eng,,,"Distribution of transit subsidies in Stockholm"
vtise-e33d00595f2fc117d8850d47b859680c,"Distributional effects of public transport subsidies",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2020-05-05,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-3417&pid=diva2%3A1424381&c=1993&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-e33d00595f2fc117d8850d47b859680c,,,"Commuting|Congestion pricing|Economics",eng,,,"Distribution of transit subsidies in Stockholm"
vtise-818ee78b8b2b7af270949f4d9d67d27d,"Distributional effects of public transport subsidies",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2020-05-05,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1424381&c=1938&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-818ee78b8b2b7af270949f4d9d67d27d,,,"Commuting|Congestion pricing|Economics",eng,,,"Distribution of transit subsidies in Stockholm"
vtise-fac3f0fc98b03c11f6a83431b1112146,"Distributional effects of public transport subsidies",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2020-05-05,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=932&pid=diva2%3A1424381&c=1855&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-fac3f0fc98b03c11f6a83431b1112146,,,"Commuting|Congestion pricing|Economics",eng,,,"Distribution of transit subsidies in Stockholm"
vtise-d613cb66c16e329bde08f3d434a67897,"Distributional effects of public transport subsidies",,Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2020-05-05,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-5485&pid=diva2%3A1424381&c=2079&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-d613cb66c16e329bde08f3d434a67897,,,"Commuting|Congestion pricing|Economics",eng,,,"Distribution of transit subsidies in Stockholm"
governmentofchile-2d1a4230e4ddd4994eec73a22dd322d8,"Recomendaciones desde la evidencia científica","Recommendations from scientific evidence",Publication,"Government of Chile",Chile,,"Public Sector",Government,"National Body|OVSEP|Mixed Roles|OVSEP|Public Service",2020-04-09,0,1,https://minciencia.gob.cl/uploads/filer_public/c9/2c/c92c6295-5baa-438d-960e-56d5dad32f64/ciudades_y_cambio_climatico_en_chile.pdf,https://app.overton.io/document.php?policy_document_id=governmentofchile-2d1a4230e4ddd4994eec73a22dd322d8,,,"Air pollution|Aluminium|Black carbon",spa,"Ministry of Science, Technology, Knowledge and Innovation","SDG 11: Sustainable Cities and Communities|SDG 13: Climate Action","Climate change in Chilean cities"
who-72b7b9276d88f6dd4f3f0657f7defc7c,"Population-based projections of blood supply and demand, China, 2017–2036",,Publication,"World Health Organization",IGO,,"Public Sector",IGO,"International Body|OVSEP|Top-Level Authority|OVSEP|Healthcare Service, Body or Agency|OVSEP|Research Centre|OVSEP|Policy Centre",2020-01-12,0,0,https://apps.who.int/iris/handle/10665/330383,https://app.overton.io/document.php?policy_document_id=who-72b7b9276d88f6dd4f3f0657f7defc7c,,,"Beijing|Blood|Blood bank",eng,"Yu, Xiaochu|Wang, Zixing|Shen, Yubing|Liu, Zhong|Wang, Hongjie|Zhang, Shumei|Gan, Jia|Xue, Fang|Han, Wei|Shi, Xin|Hu, Yaoda|Wang, Lei|Li, Ning|Wu, Peng|Yang, Cuihong|Jiang, Jingmei",,"Blood supply and demand in China"
ipeabr-8d762f43c32f98ca9d2eba14933e21e7,"TD 2535 - Desigualdades Socioespaciais de Acesso a Oportunidades nas Cidades Brasileiras - 2019","TD 2535 - Socio-spatial Inequalities of Access to Opportunities in Brazilian Cities - 2019",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2020-01-08,5,7,http://www.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35268,https://app.overton.io/document.php?policy_document_id=ipeabr-8d762f43c32f98ca9d2eba14933e21e7,,,"Accessibility|Alagoas|Belo Horizonte",por,"Henrique Boiteux","SDG 10: Reduced Inequality|SDG 11: Sustainable Cities and Communities","Accessibility in urban planning and transportation policies"
ipeabr-dbdabf86403aaf136d35e68f1f11587b,"Desigualdades socioespaciais de acesso a oportunidades nas cidades brasileiras – 2019","Socio-spatial inequalities in access to opportunities in Brazilian cities – 2019",Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"Third Sector","Think Tank","Research Centre|OVSEP|Policy Centre",2020-01-01,4,5,https://www.ipea.gov.br/portal/publicacao-item?id=ed3c119a-d0df-479e-94c7-5ec0fd1ccd03,https://app.overton.io/document.php?policy_document_id=ipeabr-dbdabf86403aaf136d35e68f1f11587b,,,"Abstract (summary)|Accessibility|Alagoas",por,,"SDG 10: Reduced Inequality|SDG 11: Sustainable Cities and Communities","Accessibility in urban planning and transportation policies in Brazil"
cityoftoronto-87e1df86a1303b17c89e4bdc0f31f534,"Toronto Employment Survey 2019 Special Topic: Toronto's Technology Sector",,Publication,"City of Toronto",Canada,,"Public Sector",Government,"Municipal Body|OVSEP|Public Service",2019-12-27,0,0,https://www.toronto.ca/wp-content/uploads/2020/01/8c9c-Toronto-Employment-Survey-2019-Special-Topic-Torontos-Technology-Sector.pdf,https://app.overton.io/document.php?policy_document_id=cityoftoronto-87e1df86a1303b17c89e4bdc0f31f534,,,"Affordable housing|Analysis|Biodiversity",eng,,"SDG 8: Decent Work and Economic Growth","Toronto's Technology Sector"
massgov-57f9403c58042c10fda4a346b40627bf,"Report No. 19-009",,Publication,"Commonwealth of Massachusetts",USA,,"Public Sector",Government,"Regional or State Level Body|OVSEP|Public Service|OVSEP|Mixed Roles",2019-12-12,0,0,https://www.mass.gov/doc/commuter-bus-demand-incentives-for-modal-shift-and-impact-on-ghg-emissions-part-ii-1/download,https://app.overton.io/document.php?policy_document_id=massgov-57f9403c58042c10fda4a346b40627bf,,,"Accessibility|Air pollution|Area",eng,,"SDG 11: Sustainable Cities and Communities|SDG 13: Climate Action","Commuter bus services and greenhouse gas emissions reduction"
vtise-05f80e274681355c313b703c1923797a,"Välfärdskonsekvenser för individer med återkallat körkort på grund av synfältsbortfall","Welfare consequences for individuals with a revoked driver&#39;s license due to visual field loss",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2019-12-06,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=932&pid=diva2%3A1362594&c=1968&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-05f80e274681355c313b703c1923797a,,,"Branches of science|Disability|Driver's license",swe,,,"Welfare consequences of driving license withdrawal due to visual field loss"
vtise-356875de39dcdea9818545e8ab8fb46d,"Välfärdskonsekvenser för individer med återkallat körkort på grund av synfältsbortfall","Welfare consequences for individuals with a revoked driver&#39;s license due to visual field loss",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2019-12-06,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-1416&pid=diva2%3A1362594&c=2051&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-356875de39dcdea9818545e8ab8fb46d,,,"Branches of science|Disability|Driver's license",swe,,,"Consequences of losing a driving license due to visual field loss on an individual's welfare"
vtise-3ea7cb6864008627a335e6269f2d8719,"Välfärdskonsekvenser för individer med återkallat körkort på grund av synfältsbortfall","Welfare consequences for individuals with a revoked driver&#39;s license due to visual field loss",Publication,VTI,Sweden,,"Public Sector",Government,"National Body|OVSEP|Arm's Length Body|OVSEP|Research Centre|OVSEP|Policy Centre",2019-12-06,0,0,https://vti.diva-portal.org/smash/record.jsf?dswid=-423&pid=diva2%3A1362594&c=1467&searchType=RESEARCH&language=en&query=&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=250&sortOrder=dayCreated_desc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,https://app.overton.io/document.php?policy_document_id=vtise-3ea7cb6864008627a335e6269f2d8719,,,"Branches of science|Disability|Driver's license",swe,,,"Welfare consequences of driving license withdrawal due to visual field loss"
